,headline,Date Published,keywords,Covid 1st keyword,Contains covid keyword
0,Welcome to the Second Quarter. Brace Yourself.,2020-04-01T10:56:16+0000,"Coronavirus (2019-nCoV);Delivery Services;AMAZON.COM INC;Carnival Plc;Bezos, Jeffrey P",False,False
1,On the Market in New York City,2020-04-02T13:00:21+0000,"Riverdale (Bronx, NY);Upper West Side (Manhattan, NY);Sunset Park (Brooklyn, NY);Real Estate and Housing (Residential)",False,True
2,"Living In ... Lewisboro, N.Y.",2020-04-01T09:00:27+0000,Real Estate and Housing (Residential);Lewisboro (NY),False,True
3,Coronavirus Is Making the Public Pension Crisis Even Worse,2020-04-02T07:00:08+0000,Pensions and Retirement Plans;Taxation;Local Government;States (US);Coronavirus (2019-nCoV);Credit and Debt;California Public Employees Retirement System;American Enterprise Institute for Public Policy Research,False,False
4,What’s on TV Thursday: ‘The Virtues’ and ‘Blinded by the Light’,2020-04-02T05:00:07+0000,Television;Movies,False,False
5,"For the Uninitiated and Bored, an Introduction to the World of Gaming",2020-04-01T09:00:15+0000,Computer and Video Games;Computers and the Internet,False,False
6,"Corrections: April 2, 2020",2020-04-02T02:58:33+0000,,False,False
7,"After 94 Years, the Song Ends for the Turtle Bay Music School",2020-04-01T09:00:26+0000,"Education (K-12);Real Estate (Commercial);Nonprofit Organizations;Music;Manhattan (NYC);Turtle Bay Music School (Manhattan, NY);Shutdowns (Institutional)",False,False
8,Coronavirus Coping: Novak Djokovic Is Playing Tennis With Frying Pans,2020-04-02T17:27:56+0000,"Coronavirus (2019-nCoV);Djokovic, Novak;Nadal, Rafael;Federer, Roger;Aston Villa (Soccer Team);English Premier League",False,False
9,7 Ways to Explore the Math of the Coronavirus Using The New York Times,2020-04-02T22:30:43+0000,,False,False
10,On the Market in New York City,2020-04-02T13:00:21+0000,"Riverdale (Bronx, NY);Upper West Side (Manhattan, NY);Sunset Park (Brooklyn, NY);Real Estate and Housing (Residential)",False,True
11,"Living In ... Lewisboro, N.Y.",2020-04-01T09:00:27+0000,Real Estate and Housing (Residential);Lewisboro (NY),False,True
12,"Corrections: April 1, 2020",2020-04-01T03:11:06+0000,,False,False
13,Coronavirus in N.Y.C.: The Latest,2020-04-01T09:13:30+0000,"New York City;Coronavirus (2019-nCoV);Laundry and Laundromats;Hygiene and Cleanliness;New York State;Cuomo, Andrew M;de Blasio, Bill;Cuomo, Christopher",False,False
14,‘The Magicians’ Showrunners: Behind the Series Finale,2020-04-02T03:00:05+0000,"Television;Syfy Channel;Gamble, Sera;The Magicians (TV Program);McNamara, John (1962- )",True,True
15,"Florida Governor, at Long Last, Orders Residents to Stay Home to Avoid Coronavirus",2020-04-01T18:04:09+0000,"Coronavirus (2019-nCoV);Florida;DeSantis, Ron;Politics and Government;Quarantines;Travel and Vacations;Epidemics;Beaches;Deaths (Fatalities);Federal-State Relations (US);Trump, Donald J;United States Politics and Government",False,True
16,Life as a College Student During the Coronavirus Outbreak,2020-04-02T18:46:09+0000,Education;Coronavirus (2019-nCoV);Computers and the Internet,False,False
17,"Corrections: April 2, 2020",2020-04-02T02:58:33+0000,,False,False
18,"After Threats, Anthony Fauci to Receive Enhanced Personal Security",2020-04-02T02:53:41+0000,"United States Politics and Government;Coronavirus (2019-nCoV);Presidential Election of 2020;Fringe Groups and Movements;Health and Human Services Department;Justice Department;Azar, Alex M II;Fauci, Anthony S;Trump, Donald J",True,True
