,headline,Date Published,keywords,Covid 1st keyword,Contains covid keyword
0,"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",2020-03-01T07:22:34+0000,"Television;Saturday Night Live (TV Program);Mulaney, John",False,False
1,‘Forget About It!’,2020-03-01T23:00:05+0000,Crossword Puzzles,False,False
2,"What Comes Next, Joe Biden?",2020-03-01T11:51:43+0000,"Presidential Election of 2020;Primaries and Caucuses;Democratic Party;Biden, Joseph R Jr;Steyer, Thomas F;Trump, Donald J;South Carolina",False,False
3,"Coronavirus, India Violence, South Carolina Primary: Your Monday Briefing",2020-03-01T20:50:30+0000,,False,False
4,"Feeling Robbed, the Dodgers Are ‘Working Angry’",2020-03-02T08:00:09+0000,"Baseball;Los Angeles Dodgers;Houston Astros;Wood, Alex (1991- );Betts, Mookie (1992- );Price, David Taylor;Cheating",False,False
5,New York City Had One of Its Least Snowy Winters on Record,2020-03-02T08:00:11+0000,Snow and Snowstorms;New York City;Global Warming;National Weather Service,False,False
6,"A Virus Spreads, Stocks Fall, and Democrats See an Opening to Hit Trump",2020-03-01T21:12:51+0000,"Coronavirus (2019-nCoV);Presidential Election of 2020;United States Economy;Interest Rates;Income Inequality;United States Politics and Government;Epidemics;Trump, Donald J;Bloomberg, Michael R;Warren, Elizabeth;Biden, Joseph R Jr;Sanders, Bernard;Federal Reserve System",True,True
7,Wall Street Has Lost Its Nerve. What Will It Take to Get It Back?,2020-03-01T20:55:33+0000,Stocks and Bonds;Standard & Poor's 500-Stock Index;Coronavirus (2019-nCoV);Economic Conditions and Trends;United States Economy,False,True
8,Extend a Nuclear Arms Treaty,2020-03-01T17:00:03+0000,"Strategic Arms Reduction Treaty;United States International Relations;ARMS CONTROL AND LIMITATION AND DISARMAMENT;Gorbachev, Mikhail S;Russia",False,False
9,Sungjae Im Gets First PGA Tour Win at Honda Classic,2020-03-01T23:56:22+0000,"Golf;PGA Tour Inc;Im, Sungjae;Hughes, Mackenzie (1990- );Fleetwood, Tommy (1991- )",False,False
10,Trump’s High Court Hears Its First Abortion Case,2020-03-02T20:33:38+0000,"Law and Legislation;ABORTION;Roe v Wade (Supreme Court Decision);Birth Control and Family Planning;Supreme Court (US);Kavanaugh, Brett M;Roberts, John G Jr;Trump, Donald J;Louisiana",False,False
11,Bernie Sanders Can’t Count on New Voters,2020-03-03T01:43:54+0000,"Sanders, Bernard;Voting and Voters;AGE, CHRONOLOGICAL;Democratic Party;Presidential Election of 2020;Primaries and Caucuses;Liberalism (US Politics);United States Politics and Government;Youth;Polls and Public Opinion;Trump, Donald J;Biden, Joseph R Jr",False,False
12,"Italy, Europe’s Coronavirus Lab",2020-03-02T06:00:07+0000,Coronavirus (2019-nCoV);Travel Warnings;Epidemics;Travel and Vacations;Social Media;Tests (Medical);Corriere della Sera;European Union;World Health Organization;Instagram Inc;Codogno (Italy);Cremona (Italy);Emilia-Romagna (Italy);Europe;France;Italy;Lombardy (Italy);Milan (Italy);Parma (Italy);Rome (Italy);Sicily (Italy);South Korea;Veneto (Italy),True,True
13,"Most Adults Should be Screened for Hepatitis C, New U.S. Guidelines Urge",2020-03-02T22:52:00+0000,Hepatitis;Preventive Medicine;Liver;Drug Abuse and Traffic;United States Preventive Services Task Force;Journal of the American Medical Assn;United States;Tests (Medical),False,False
14,China Stopped Its Economy to Tackle Coronavirus. Now the World Suffers.,2020-03-02T21:33:01+0000,China;Coronavirus (2019-nCoV);Economic Conditions and Trends;International Trade and World Market;Travel and Vacations;Labor and Jobs;Layoffs and Job Reductions;Mines and Mining;Factories and Manufacturing;Epidemics,False,True
15,Stop Touching Your Face!,2020-03-02T10:00:09+0000,Face;Touch (Sense);Hygiene and Cleanliness;Coronavirus (2019-nCoV);Eyes and Eyesight;Research;SARS (Severe Acute Respiratory Syndrome);Epidemics;Nose;Animal Behavior;Skin;Medicine and Health;Doctors;Mouth,False,True
16,Paranoid Politics Goes Viral,2020-03-02T22:42:16+0000,"United States Politics and Government;Coronavirus (2019-nCoV);Hoaxes and Pranks;Republican Party;Trump, Donald J;Presidential Election of 2020;Sanders, Bernard",False,True
17,Real Wedding Day Looks,2020-03-03T16:23:22+0000,Dresses;Fashion and Apparel;Weddings and Engagements,False,False
18,5 Caribbean Islands Where You Can Go Beyond the Beach,2020-03-03T10:00:22+0000,Travel and Vacations;Caribbean Area;Grenada;Martinique;Nevis;Puerto Rico;St Kitts;St Lucia,False,False
19,An Abortion Clinic’s Fate Before a Transformed Supreme Court,2020-03-03T10:00:20+0000,ABORTION;Law and Legislation;Decisions and Verdicts;United States Politics and Government;Supreme Court (US);Louisiana,False,False
20,5 Caribbean Islands Where You Can Go Beyond the Beach,2020-03-03T10:00:22+0000,Travel and Vacations;Caribbean Area;Grenada;Martinique;Nevis;Puerto Rico;St Kitts;St Lucia,False,False
21,Why 2019 Was a Breakthrough Year for Women in the Boardroom,2020-03-03T18:03:45+0000,Workplace Environment;Gender;Women and Girls;Boards of Directors,False,False
22,Word + Quiz: leave-taking,2020-03-03T07:00:01+0000,,False,False
23,Capitalists Make Their Case Against Sanders,2020-03-03T11:31:22+0000,"Presidential Election of 2020;Stocks and Bonds;General Electric Company;Waymo;Welch, John F Jr;Sanders, Bernard;Biden, Joseph R Jr",False,False
24,The Israel Election (Round 3): Here’s What You Need to Know,2020-03-02T05:01:06+0000,"Politics and Government;Elections;Blue and White (Israeli Political Party);Likud Party (Israel);Gantz, Benny;Netanyahu, Benjamin;Lieberman, Avigdor;Israel",False,False
25,How Much Does a Play Change During Previews? Just Ask ‘The Perplexed’,2020-03-02T10:00:19+0000,"Theater;Manhattan Theater Club;Colin, Margaret;Greenberg, Richard;Meadow, Lynne;The Perplexed (Play)",False,False
26,Supreme Court to Hear Obamacare Appeal,2020-03-02T14:45:06+0000,"Patient Protection and Affordable Care Act (2010);Supreme Court (US);Obama, Barack;Trump, Donald J;Presidential Election of 2020;House of Representatives;Democratic Party;States (US);Federal-State Relations (US);United States Politics and Government;Suits and Litigation (Civil)",False,False
27,#NeverBernie? The Pundit and the Blowback,2020-03-02T20:32:49+0000,"Presidential Election of 2020;Brooks, David;Sanders, Bernard;Immigration and Emigration;New York City;ALLIGATORS",False,False
28,Japan’s Efforts to Limit the Coronavirus Outbreak,2020-03-02T15:46:32+0000,Coronavirus (2019-nCoV);Japan;Olympic Games (2020),True,True
29,Quotation of the Day: These Oddballs Get Sideways Glances,2020-03-03T03:39:51+0000,,False,False
30,"Ulay, Boundary-Pushing Performance Artist, Dies at 76",2020-03-02T19:02:07+0000,"Performance Art;Ulay (1943-2020);ABRAMOVIC, MARINA;Deaths (Obituaries)",False,False
31,"Trump, Returning to Retribution, Withdraws Pentagon Nomination",2020-03-02T23:34:33+0000,"McCusker, Elaine A;Trump, Donald J;Defense Department;APPOINTMENTS AND EXECUTIVE CHANGES;Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;United States Politics and Government",False,False
32,Can YouTube Quiet Its Conspiracy Theorists?,2020-03-02T10:00:01+0000,"Fringe Groups and Movements;Video Recordings, Downloads and Streaming;YouTube.com",False,False
33,Quotation of the Day: These Oddballs Get Sideways Glances,2020-03-03T03:39:51+0000,,False,False
34,"U.N. Panel Says Russia Bombed Syrian Civilian Targets, a War Crime",2020-03-02T18:22:20+0000,"Civilian Casualties;War Crimes, Genocide and Crimes Against Humanity;Human Rights and Human Rights Violations;United Nations;United Nations Human Rights Council;Idlib (Syria);Russia;Syria",False,False
35,#NeverBernie? The Pundit and the Blowback,2020-03-02T20:32:49+0000,"Presidential Election of 2020;Brooks, David;Sanders, Bernard;Immigration and Emigration;New York City;ALLIGATORS",False,False
36,He Ran for President. Now He’s Politicking for His Wife in Brooklyn.,2020-03-03T08:00:07+0000,"de Blasio, Bill;McCray, Chirlane;Gracie Mansion (Manhattan, NY);Campaign Finance;Elections, Borough Presidents;Politics and Government;Parties (Social);Conflicts of Interest;Fairness PAC;New York City",False,False
37,Japan’s Efforts to Limit the Coronavirus Outbreak,2020-03-02T15:46:32+0000,Coronavirus (2019-nCoV);Japan;Olympic Games (2020),True,True
38,How the Democratic Establishment Stumbled as Sanders Surged,2020-03-02T22:18:04+0000,"Presidential Election of 2020;United States Politics and Government;Democratic Party;Primaries and Caucuses;Sanders, Bernard;Biden, Joseph R Jr;Bloomberg, Michael R;Klobuchar, Amy;Warren, Elizabeth;Trump, Donald J",False,False
