,uri,url,id,asset_id,source,published_date,updated,section,subsection,nytdsection,adx_keywords,column,byline,type,title,abstract,des_facet,org_facet,per_facet,geo_facet,media,eta_id
0,nyt://article/0c53a478-7276-5fe7-abb7-e9272ed0f06b,https://www.nytimes.com/2020/04/11/us/politics/coronavirus-trump-response.html,100000007082117,100000007082117,New York Times,2020-04-11,2020-04-13 20:30:51,U.S.,Politics,u.s.,"Coronavirus (2019-nCoV);United States Politics and Government;United States Economy;United States International Relations;Presidential Election of 2020;Shutdowns (Institutional);Quarantines;Travel Warnings;Trump, Donald J;Azar, Alex M II;Birx, Deborah L;Fauci, Anthony S;Mnuchin, Steven T;Navarro, Peter;O'Brien, Robert C (1952- );Pence, Mike;Pottinger, Matthew;Redfield, Robert R;Centers for Disease Control and Prevention;National Institutes of Health;National Security Council;Health and Human Services Department;China",,"By Eric Lipton, David E. Sanger, Maggie Haberman, Michael D. Shear, Mark Mazzetti and Julian E. Barnes",Article,He Could Have Seen What Was Coming: Behind Trump’s Failure on the Virus,"An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of planning and his faith in his own instincts led to a halting response.","['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'United States Economy', 'United States International Relations', 'Presidential Election of 2020', 'Shutdowns (Institutional)', 'Quarantines', 'Travel Warnings']","['Centers for Disease Control and Prevention', 'National Institutes of Health', 'National Security Council', 'Health and Human Services Department']","['Trump, Donald J', 'Azar, Alex M II', 'Birx, Deborah L', 'Fauci, Anthony S', 'Mnuchin, Steven T', 'Navarro, Peter', ""O'Brien, Robert C (1952- )"", 'Pence, Mike', 'Pottinger, Matthew', 'Redfield, Robert R']",['China'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'President Trump has repeatedly said that no one could have seen the effects of the coronavirus coming.', 'copyright': 'Al Drago for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
1,nyt://article/d0778700-c34f-57ac-a8ee-b8cdbb93ba2e,https://www.nytimes.com/2020/04/12/opinion/joe-biden-coronavirus-reopen-america.html,100000007080313,100000007080313,New York Times,2020-04-12,2020-04-13 10:33:54,Opinion,,opinion,"United States Politics and Government;Defense Production Act;United States Economy;Vaccination and Immunization;Coronavirus (2019-nCoV);Trump, Donald J;Health and Human Services Department;Occupational Safety and Health Administration;United States",,By Joe Biden,Article,Joe Biden: My Plan to Safely Reopen America,An effective strategy to beat the virus is the ultimate answer to how we get our economy back on track.,"['United States Politics and Government', 'Defense Production Act', 'United States Economy', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']","['Health and Human Services Department', 'Occupational Safety and Health Administration']","['Trump, Donald J']",['United States'],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Damon Winter/The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
2,nyt://article/124c0d33-9756-5fd2-a812-fd98c3373466,https://www.nytimes.com/2020/04/12/us/coronavirus-biogen-boston-superspreader.html,100000007070378,100000007070378,New York Times,2020-04-12,2020-04-14 00:07:06,U.S.,,u.s.,"Coronavirus (2019-nCoV);Drugs (Pharmaceuticals);Epidemics;Conventions, Fairs and Trade Shows;Vounatsos, Michel;Biogen Inc;Pharmaceutical Research and Manufacturers of America;Boston (Mass);Massachusetts",,By Farah Stockman and Kim Barker,Article,How a Premier U.S. Drug Company Became a Virus ‘Super Spreader’,"Biogen employees unwittingly spread the coronavirus from Massachusetts to Indiana, Tennessee and North Carolina.","['Coronavirus (2019-nCoV)', 'Drugs (Pharmaceuticals)', 'Epidemics', 'Conventions, Fairs and Trade Shows']","['Biogen Inc', 'Pharmaceutical Research and Manufacturers of America']","['Vounatsos, Michel']","['Boston (Mass)', 'Massachusetts']","[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': ""Cody O'Loughlin for The New York Times"", 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-mediumThreeByTwo210-v3.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-mediumThreeByTwo440-v3.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
3,nyt://article/9b9ece61-38ba-52ac-9e0a-afe70d753df7,https://www.nytimes.com/article/substitutes-for-cooking.html,100000007075118,100000007075118,New York Times,2020-04-11,2020-04-13 12:02:03,Food,,food,Cooking and Cookbooks;Food;Dairy Products;Herbs;Spices;Cheese;Meat;Vegetables;Oils and Fats,,By Alexa Weibel,Article,Missing an Ingredient? Here Are Substitutions You Can Use Instead,Don’t worry: You probably have something in your kitchen that will work. It might even improve the recipe.,"['Cooking and Cookbooks', 'Food', 'Dairy Products', 'Herbs', 'Spices', 'Cheese', 'Meat', 'Vegetables', 'Oils and Fats']",[],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'If you have a well-stocked pantry, you can make almost any dish work.', 'copyright': 'Julia Gartland for The New York Times. Prop Stylist: Kristine Trevino.', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/07/dining/07ingredients/07ingredients-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/07/dining/07ingredients/07ingredients-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/07/dining/07ingredients/07ingredients-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
4,nyt://article/5db7550b-7f12-540b-b7d4-0fb838564d26,https://www.nytimes.com/2020/04/13/style/why-weird-dreams-coronavirus.html,100000007075380,100000007075380,New York Times,2020-04-13,2020-04-13 15:51:56,Style,,style,Sleep;Dreams;Coronavirus (2019-nCoV);your-feed-selfcare;Anxiety and Stress,,By Caity Weaver,Article,Why Am I Having Weird Dreams Lately?,Because we all are. But know this: You can program your dreams.,"['Sleep', 'Dreams', 'Coronavirus (2019-nCoV)', 'your-feed-selfcare', 'Anxiety and Stress']",[],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Getty Images', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/fashion/13VIRUS-DREAMS-bed/13VIRUS-DREAMS-bed-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/fashion/13VIRUS-DREAMS-bed/13VIRUS-DREAMS-bed-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/fashion/13VIRUS-DREAMS-bed/13VIRUS-DREAMS-bed-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
5,nyt://article/3d38b5cd-a70f-57fd-874f-2fd7458823a0,https://www.nytimes.com/2020/04/10/well/live/coronavirus-face-masks-guides-protection-personal-protective-equipment.html,100000007077930,100000007077930,New York Times,2020-04-10,2020-04-13 11:47:33,Well,Live,well,Masks;Do It Yourself;Protective Clothing and Gear;Shortages;Textiles;Sewing;Coronavirus (2019-nCoV);Quarantines;Influenza;SARS (Severe Acute Respiratory Syndrome);T-Shirts (Apparel);Scarves,,By Tara Parker-Pope,Article,A User’s Guide to Face Masks,By now you’ve figured out that wearing a mask is not as simple as all those TV doctors made it look. Here’s our guide to the wear and care of your new mask.,"['Masks', 'Do It Yourself', 'Protective Clothing and Gear', 'Shortages', 'Textiles', 'Sewing', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Influenza', 'SARS (Severe Acute Respiratory Syndrome)', 'T-Shirts (Apparel)', 'Scarves']",[],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Douglas Magno/Agence France-Presse — Getty Images', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/10/smarter-living/00well-mask-guide/00well-mask-guide-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/10/smarter-living/00well-mask-guide/00well-mask-guide-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/10/smarter-living/00well-mask-guide/00well-mask-guide-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
6,nyt://article/174a95d4-62b2-5cee-b0e2-e7005c5f64ad,https://www.nytimes.com/2020/04/10/dining/coconut-macaroons-coronavirus.html,100000007081779,100000007081779,New York Times,2020-04-10,2020-04-11 07:47:42,Food,,food,Cooking and Cookbooks;Coconuts;Recipes,,By Melissa Clark,Article,"Coconut Macaroons, Two Easy Ways","Make a candylike version with all coconut and an egg white, or use a whole egg and almond flour for a more cakelike result.","['Cooking and Cookbooks', 'Coconuts', 'Recipes']",[],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Melissa Clark', 'approved_for_syndication': 0, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/10/dining/10pantry-blog/10pantry-blog-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/10/dining/10pantry-blog/10pantry-blog-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/10/dining/10pantry-blog/10pantry-blog-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
7,nyt://article/994b52e1-a8b5-5a31-a045-1fb429b1b155,https://www.nytimes.com/2020/04/13/opinion/coronavirus-immunity.html,100000007081207,100000007081207,New York Times,2020-04-13,2020-04-13 20:51:48,Opinion,,opinion,Tests (Medical);Coronavirus (2019-nCoV);SARS (Severe Acute Respiratory Syndrome);MERS (Middle East Respiratory Syndrome);Immune System;Epidemics;Antibodies;Vaccination and Immunization;Population;Infections;Colds;Faroe Islands;Italy;South Korea,,By Marc Lipsitch,Article,Who Is Immune to the Coronavirus?,"About this question, too, decisions with great consequences are being made, as they must be, based on only glimmers of data.","['Tests (Medical)', 'Coronavirus (2019-nCoV)', 'SARS (Severe Acute Respiratory Syndrome)', 'MERS (Middle East Respiratory Syndrome)', 'Immune System', 'Epidemics', 'Antibodies', 'Vaccination and Immunization', 'Population', 'Infections', 'Colds']",[],[],"['Faroe Islands', 'Italy', 'South Korea']","[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Santi Palacios/Associated Press', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
8,nyt://article/7ca9e7bb-1ac2-5ca9-bdeb-b554cf0ff6cc,https://www.nytimes.com/2020/04/13/opinion/covid-workers-healthcare-fairness.html,100000007081586,100000007081586,New York Times,2020-04-13,2020-04-13 18:49:08,Opinion,,opinion,"Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Income Inequality;Philosophy;Poverty;Colleges and Universities;Finances;Politics and Government;United States Politics and Government;Executive Compensation;Harvard University",,By Michael J. Sandel,Article,Are We All in This Together?,The pandemic has helpfully scrambled how we value everyone’s economic and social roles.,"['Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Income Inequality', 'Philosophy', 'Poverty', 'Colleges and Universities', 'Finances', 'Politics and Government', 'United States Politics and Government', 'Executive Compensation']",['Harvard University'],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'An Instacart worker shopping for someone else’s groceries last month.', 'copyright': 'Erica Lee for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13sandelWeb/13sandelWeb-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13sandelWeb/13sandelWeb-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13sandelWeb/13sandelWeb-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
9,nyt://article/971d40dc-e211-528f-b614-a74d01b84e04,https://www.nytimes.com/2020/04/12/world/middleeast/coronavirus-israel-mossad.html,100000007078047,100000007078047,New York Times,2020-04-12,2020-04-13 11:43:28,World,Middle East,world,"Coronavirus (2019-nCoV);Medical Devices;Medicine and Health;Shortages;Espionage and Intelligence Services;Cohen, Yossi (1961- );Litzman, Yaakov;Mossad;Israel",,By Ronen Bergman,Article,Israel’s Not-So-Secret Weapon in Coronavirus Fight: The Spies of Mossad,"The Israeli intelligence agency has played an outsize role in acquiring the medical gear, and knowledge, needed in the pandemic.","['Coronavirus (2019-nCoV)', 'Medical Devices', 'Medicine and Health', 'Shortages', 'Espionage and Intelligence Services']",['Mossad'],"['Cohen, Yossi (1961- )', 'Litzman, Yaakov']",['Israel'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Ultra-Orthodox Jews in\xa0Bnei Brak, Israel, last week.', 'copyright': 'Jack Guez/Agence France-Presse — Getty Images', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/10/world/xxvirus-israel-spies1/merlin_171257388_169aa34f-51fc-42cc-8c5d-bac77e330197-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/10/world/xxvirus-israel-spies1/merlin_171257388_169aa34f-51fc-42cc-8c5d-bac77e330197-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/10/world/xxvirus-israel-spies1/merlin_171257388_169aa34f-51fc-42cc-8c5d-bac77e330197-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
