,uri,url,id,asset_id,source,published_date,updated,section,subsection,nytdsection,adx_keywords,column,byline,type,title,abstract,des_facet,org_facet,per_facet,geo_facet,media,eta_id
0,nyt://article/a6546112-4515-5f3d-8b38-77c3f65d526d,https://www.nytimes.com/2020/03/14/technology/coronavirus-purell-wipes-amazon-sellers.html,100000007029870,100000007029870,New York Times,2020-03-14,2020-03-15 19:28:26,Technology,,technology,"Coronavirus (2019-nCoV);Prices (Fares, Fees and Rates);Cleansers, Detergents and Soaps;Hygiene and Cleanliness;Stockpiling;E-Commerce;Computers and the Internet;Masks;Protective Clothing and Gear;Amazon.com Inc;eBay Inc;Chattanooga (Tenn)",,By Jack Nicas,Article,"He Has 17,700 Bottles of Hand Sanitizer and Nowhere to Sell Them","Amazon cracked down on coronavirus price gouging. Now, while the rest of the world searches, some sellers are holding stockpiles of sanitizer and masks.","['Coronavirus (2019-nCoV)', 'Prices (Fares, Fees and Rates)', 'Cleansers, Detergents and Soaps', 'Hygiene and Cleanliness', 'Stockpiling', 'E-Commerce', 'Computers and the Internet', 'Masks', 'Protective Clothing and Gear']","['Amazon.com Inc', 'eBay Inc']",[],['Chattanooga (Tenn)'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'An Amazon merchant, Matt Colvin, with an overflow stock of cleaning and sanitizing supplies in his garage in Hixson, Tenn.', 'copyright': 'Doug Strickland for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/13/business/00gouge1/00gouge1-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/13/business/00gouge1/00gouge1-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/13/business/00gouge1/00gouge1-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
1,nyt://article/6ef9394d-959a-550b-b2fa-954b9ca0892f,https://www.nytimes.com/2020/03/26/health/usa-coronavirus-cases.html,100000007056143,100000007056143,New York Times,2020-03-26,2020-03-27 10:26:20,Health,,health,"Politics and Government;United States International Relations;Medicine and Health;Quarantines;Coronavirus (2019-nCoV);Epidemics;Impeachment;Lipkin, W Ian;Columbia University",,By Donald G. McNeil Jr.,Article,The U.S. Now Leads the World in Confirmed Coronavirus Cases,"Following a series of missteps, the nation is now the epicenter of the pandemic.","['Politics and Government', 'United States International Relations', 'Medicine and Health', 'Quarantines', 'Coronavirus (2019-nCoV)', 'Epidemics', 'Impeachment']",['Columbia University'],"['Lipkin, W Ian']",[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'A line for coronavirus testing outside of Elmhurst Hospital Center in Queens on Wednesday.', 'copyright': 'Dave Sanders for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/26/science/26VIRUS-SURPASS1/26VIRUS-SURPASS1-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/26/science/26VIRUS-SURPASS1/26VIRUS-SURPASS1-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/26/science/26VIRUS-SURPASS1/26VIRUS-SURPASS1-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
2,nyt://article/32785b9e-7d44-5dd0-b2ce-551cb5f000ae,https://www.nytimes.com/2020/03/18/nyregion/new-jersey-family-coronavirus.html,100000007041449,100000007041449,New York Times,2020-03-18,2020-03-22 13:16:20,New York,,new york,"Coronavirus (2019-nCoV);Quarantines;Deaths (Fatalities);Fusco, Carmine (d 2020);Fusco, Grace (d 2020);Fusco-Jackson, Rita (d 2020);Freehold (NJ)",,By Tracey Tully,Article,"Coronavirus Ravages 7 Members of a Single Family, Killing 4",The matriarch of the large New Jersey family died Wednesday night without ever knowing that her two oldest children had died before her.,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Deaths (Fatalities)']",[],"['Fusco, Carmine (d 2020)', 'Fusco, Grace (d 2020)', 'Fusco-Jackson, Rita (d 2020)']",['Freehold (NJ)'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Grace Fusco, center, and her 11 children in a family photo.', 'copyright': '', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/21/nyregion/18njvirus-family1/18njvirus-family1-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/21/nyregion/18njvirus-family1/18njvirus-family1-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/21/nyregion/18njvirus-family1/18njvirus-family1-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
3,nyt://article/b1dd3169-77bf-5aac-9b8a-a851fd06dd05,https://www.nytimes.com/2020/04/02/opinion/jared-kushner-coronavirus.html,100000007063748,100000007063748,New York Times,2020-04-02,2020-04-03 21:49:51,Opinion,,opinion,"Coronavirus (2019-nCoV);Epidemics;United States Politics and Government;Disasters and Emergencies;Medical Devices;Ventilators (Medical);Kushner, Jared;Trump, Donald J;Cuomo, Andrew M;New York State",,By Michelle Goldberg,Article,Putting Jared Kushner In Charge Is Utter Madness,Trump’s son-in-law has no business running the coronavirus response.,"['Coronavirus (2019-nCoV)', 'Epidemics', 'United States Politics and Government', 'Disasters and Emergencies', 'Medical Devices', 'Ventilators (Medical)']",[],"['Kushner, Jared', 'Trump, Donald J', 'Cuomo, Andrew M']",['New York State'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Jared Kushner in March. He made his debut at the White House coronavirus briefing on Thursday.\xa0', 'copyright': 'Pool photo by Evan Vucci', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/02/opinion/02goldbergWeb/02goldbergWeb-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/02/opinion/02goldbergWeb/02goldbergWeb-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/02/opinion/02goldbergWeb/02goldbergWeb-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
4,nyt://article/2f684b45-0f08-51a1-8140-b2605036920e,https://www.nytimes.com/article/coronavirus-stimulus-package-questions-answers.html,100000007048672,100000007048672,New York Times,2020-03-26,2020-04-11 13:53:08,Business,,business,"Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Stimulus (Economic);Federal Aid (US);Unemployment Insurance;United States Economy;United States Politics and Government;Internal Revenue Service",,By Tara Siegel Bernard and Ron Lieber,Article,"F.A.Q. on Stimulus Checks, Unemployment and the Coronavirus Plan","The $2 trillion relief bill will send money directly to Americans, greatly expand unemployment coverage and make a number of other changes.","['Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Federal Aid (US)', 'Unemployment Insurance', 'United States Economy', 'United States Politics and Government']",['Internal Revenue Service'],[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Robert Neubecker', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/27/business/26virus-qa/26virus-qa-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/27/business/26virus-qa/26virus-qa-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/27/business/26virus-qa/26virus-qa-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
5,nyt://article/7dc13046-fe14-537f-a422-83994384fc9d,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-liberty-university-falwell.html,100000007058831,100000007058831,New York Times,2020-03-29,2020-04-08 09:46:34,U.S.,Politics,u.s.,"Coronavirus (2019-nCoV);Colleges and Universities;Shutdowns (Institutional);Conservatism (US Politics);Falwell, Jerry Jr (1962- );Liberty University;Lynchburg (Va)",,By Elizabeth Williamson,Article,"Liberty University Brings Back Its Students, and Coronavirus Fears, Too","The decision by the school’s president, Jerry Falwell Jr., to partly reopen his evangelical university enraged residents of Lynchburg, Va. Then students started getting sick.","['Coronavirus (2019-nCoV)', 'Colleges and Universities', 'Shutdowns (Institutional)', 'Conservatism (US Politics)']",['Liberty University'],"['Falwell, Jerry Jr (1962- )']",['Lynchburg (Va)'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Of the 1,900 students who initially returned last week to Liberty’s campus, more than 800 had left, said Jerry Falwell Jr., the university president.', 'copyright': 'Julia Rendleman for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/29/us/politics/29dc-virus-liberty1/29dc-virus-liberty1-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/29/us/politics/29dc-virus-liberty1/29dc-virus-liberty1-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/29/us/politics/29dc-virus-liberty1/29dc-virus-liberty1-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
6,nyt://article/bd4b1fad-9b89-5d1e-95ed-301406ea4b65,https://www.nytimes.com/2020/03/28/technology/coronavirus-fauci-trump-conspiracy-target.html,100000007058512,100000007058512,New York Times,2020-03-28,2020-04-03 13:11:16,Technology,,technology,"Coronavirus (2019-nCoV);Rumors and Misinformation;United States Politics and Government;Epidemics;Social Media;Fringe Groups and Movements;Fauci, Anthony S;Trump, Donald J;Fitton, Thomas J (1968- );National Institute of Allergy and Infectious Diseases;Judicial Watch",,By Davey Alba and Sheera Frenkel,Article,Medical Expert Who Corrects Trump Is Now a Target of the Far Right,"Dr. Anthony Fauci, the administration’s most outspoken advocate of emergency virus measures, faces a torrent of false claims that he is mobilizing to undermine the president.","['Coronavirus (2019-nCoV)', 'Rumors and Misinformation', 'United States Politics and Government', 'Epidemics', 'Social Media', 'Fringe Groups and Movements']","['National Institute of Allergy and Infectious Diseases', 'Judicial Watch']","['Fauci, Anthony S', 'Trump, Donald J', 'Fitton, Thomas J (1968- )']",[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Dr. Anthony S. Fauci after President Trump referred to the &ldquo;Deep State Department&rdquo; at a briefing on March 20.', 'copyright': 'Erin Schaff/The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/29/business/29VIRUS-FAUCIDISINFO1/00VIRUS-FAUCIDISINFO1-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/29/business/29VIRUS-FAUCIDISINFO1/00VIRUS-FAUCIDISINFO1-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/29/business/29VIRUS-FAUCIDISINFO1/00VIRUS-FAUCIDISINFO1-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
7,nyt://article/43650030-bd31-59fe-aab7-d3b103e9e3ca,https://www.nytimes.com/2020/03/23/us/chinese-coronavirus-racist-attacks.html,100000007044136,100000007044136,New York Times,2020-03-23,2020-04-10 06:11:18,U.S.,,u.s.,"Chinese-Americans;Discrimination;Coronavirus (2019-nCoV);Asian-Americans;Race and Ethnicity;Trump, Donald J;United States",,By Sabrina Tavernise and Richard A. Oppel Jr.,Article,"Spit On, Yelled At, Attacked: Chinese-Americans Fear for Their Safety","As bigots blame them for the coronavirus and President Trump labels it the “Chinese virus,” many Chinese-Americans say they are terrified of what could come next.","['Chinese-Americans', 'Discrimination', 'Coronavirus (2019-nCoV)', 'Asian-Americans', 'Race and Ethnicity']",[],"['Trump, Donald J']",['United States'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Yuanyuan Zhu said a middle-aged man started shouting at her while she was walking to her gym and then spat at her as she waited to cross the street.', 'copyright': 'Cayce Clifford for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/20/us/00VIRUS-ASIANFEAR-zhu/00VIRUS-ASIANFEAR-zhu-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/20/us/00VIRUS-ASIANFEAR-zhu/00VIRUS-ASIANFEAR-zhu-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/20/us/00VIRUS-ASIANFEAR-zhu/00VIRUS-ASIANFEAR-zhu-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
8,nyt://article/449eb6cf-679b-570a-9623-de16404bd0e1,https://www.nytimes.com/2020/04/02/world/coronavirus-live-news-updates.html,100000007067017,100000007067017,New York Times,2020-04-02,2020-04-07 07:15:02,World,,world,Coronavirus (2019-nCoV),,,Article,White House Debates How Far to Go on Face Mask Guidelines,"The coordinator of the coronavirus response emphasized that social distancing was still the most important step people could take. Critical medicines are running low, and nearly 10 million Americans have lost their jobs.",['Coronavirus (2019-nCoV)'],[],[],[],[],0
9,nyt://article/cbfa31ad-ac59-5ba4-b688-f579872a17c7,https://www.nytimes.com/2020/03/22/health/coronavirus-symptoms-smell-taste.html,100000007047937,100000007047937,New York Times,2020-03-22,2020-03-27 12:30:02,Health,,health,Coronavirus (2019-nCoV);Smell (Olfaction);Tests (Medical);Quarantines;your-feed-science;American Academy of Otolaryngology;ENT UK,,By Roni Caryn Rabin,Article,Lost Sense of Smell May Be Peculiar Clue to Coronavirus Infection,"Doctor groups are recommending testing and isolation for people who lose their ability to smell and taste, even if they have no other symptoms.","['Coronavirus (2019-nCoV)', 'Smell (Olfaction)', 'Tests (Medical)', 'Quarantines', 'your-feed-science']","['American Academy of Otolaryngology', 'ENT UK']",[],[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'A girl removed her mask to smell the flowers on a blooming tree in Skopje, North Macedonia, on Friday. Evidence is growing that lost sense of smell and taste are peculiar telltale signs of Covid-19, the disease caused by the coronavirus.', 'copyright': 'Ognen Teofilovski/Reuters', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/03/22/science/22virus-smell1/22virus-smell1-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/03/22/science/22virus-smell1/22virus-smell1-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/03/22/science/22virus-smell1/22virus-smell1-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
10,nyt://article/8ec20bb2-2caf-51a1-adc7-8d6074e063c5,https://www.nytimes.com/2020/04/04/world/europe/germany-coronavirus-death-rate.html,100000007067360,100000007067360,New York Times,2020-04-04,2020-04-10 12:17:11,World,Europe,world,"Coronavirus (2019-nCoV);Tests (Medical);Hospitals;Epidemics;Quarantines;Ventilators (Medical);Deaths (Fatalities);Merkel, Angela;Germany",,By Katrin Bennhold,Article,A German Exception? Why the Country’s Coronavirus Death Rate Is Low,"The pandemic has hit Germany hard, with more than 100,000 people infected. But the percentage of fatal cases has been remarkably low compared to those in many neighboring countries.","['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'Hospitals', 'Epidemics', 'Quarantines', 'Ventilators (Medical)', 'Deaths (Fatalities)']",[],"['Merkel, Angela']",['Germany'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'In the heart of Berlin, Potsdamer Platz was nearly empty on Saturday, as people heeded orders to stay at home.\xa0', 'copyright': 'Emile Ducke for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/05/world/05germany-deathrate1/merlin_171072987_8e193282-6f10-4a5f-84ce-b2d9c4d2f181-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/05/world/05germany-deathrate1/merlin_171072987_8e193282-6f10-4a5f-84ce-b2d9c4d2f181-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/05/world/05germany-deathrate1/merlin_171072987_8e193282-6f10-4a5f-84ce-b2d9c4d2f181-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
11,nyt://article/a6babdf9-9d97-534b-8a71-292c6ba2298f,https://www.nytimes.com/2020/04/08/us/politics/bernie-sanders-drops-out.html,100000007027237,100000007027237,New York Times,2020-04-08,2020-04-09 08:52:52,U.S.,Politics,u.s.,"Primaries and Caucuses;Presidential Election of 2020;United States Politics and Government;Sanders, Bernard;Biden, Joseph R Jr;Democratic Party",,By Sydney Ember,Article,Bernie Sanders Drops Out of 2020 Democratic Race for President,"Mr. Sanders, a democratic socialist making his second run for the White House, withdrew after a series of losses to Joseph R. Biden Jr., who emerges as the presumptive nominee for the general election.","['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']",['Democratic Party'],"['Sanders, Bernard', 'Biden, Joseph R Jr']",[],[],0
12,nyt://article/66590cd7-5ff4-5d3d-9305-c8ce9d2c64db,https://www.nytimes.com/2020/04/02/nyregion/ny-coronavirus-usns-comfort.html,100000007068343,100000007068343,New York Times,2020-04-02,2020-04-07 12:11:31,New York,,new york,"USNS Comfort (Ship);Coronavirus (2019-nCoV);Hospitals;Quarantines;Epidemics;Trump, Donald J;Cuomo, Andrew M;Amersbach, Patrick;Dowling, Michael J (1949- );Javits, Jacob K, Convention Center (Manhattan, NY);Northwell Health;United States Navy;New York City",,By Michael Schwirtz,Article,"The 1,000-Bed Comfort Was Supposed to Aid New York. It Has 20 Patients.","“It’s a joke,” said a top hospital executive, whose facilities are packed with coronavirus patients.","['USNS Comfort (Ship)', 'Coronavirus (2019-nCoV)', 'Hospitals', 'Quarantines', 'Epidemics']","['Javits, Jacob K, Convention Center (Manhattan, NY)', 'Northwell Health', 'United States Navy']","['Trump, Donald J', 'Cuomo, Andrew M', 'Amersbach, Patrick', 'Dowling, Michael J (1949- )']",['New York City'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'The Navy hospital ship Comfort has been docked at Pier 90 in Manhattan since its arrival on Monday.', 'copyright': 'Chang W. Lee/The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/04/nyregion/02nyvirus-comfort/02nyvirus-comfort-thumbStandard-v3.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/04/nyregion/02nyvirus-comfort/02nyvirus-comfort-mediumThreeByTwo210-v3.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/04/nyregion/02nyvirus-comfort/02nyvirus-comfort-mediumThreeByTwo440-v3.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
