,uri,url,id,asset_id,source,published_date,updated,section,subsection,nytdsection,adx_keywords,column,byline,type,title,abstract,des_facet,org_facet,per_facet,geo_facet,media,eta_id
0,nyt://article/e5ddd832-0a48-5583-909e-ea716e27332a,https://www.nytimes.com/2020/04/12/business/media/disney-ceo-coronavirus.html,100000007079840,100000007079840,New York Times,2020-04-12,2020-04-13 13:46:32,Business,Media,business,"Coronavirus (2019-nCoV);Media;Chapek, Robert A;Iger, Robert A;Disney Plus;Disney, Walt, World (Lake Buena Vista, Fla);Walt Disney Company;China",,By Ben Smith,Article,"Bob Iger Thought He Was Leaving on Top. Now, He’s Fighting for Disney’s Life.",The former C.E.O. thought he was riding into the sunset. Now he’s reasserting control and reimagining Disney as a company with fewer employees and more thermometers.,"['Coronavirus (2019-nCoV)', 'Media']","['Disney Plus', 'Disney, Walt, World (Lake Buena Vista, Fla)', 'Walt Disney Company']","['Chapek, Robert A', 'Iger, Robert A']",['China'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'The Shanghai Disney Resort on Jan. 25, the day it was closed because of the coronavirus outbreak.', 'copyright': 'Aly Song/Reuters', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/business/12SUBJPBENSMITH1-print/12SUBJPBENSMITH1-print-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/business/12SUBJPBENSMITH1-print/12SUBJPBENSMITH1-print-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/business/12SUBJPBENSMITH1-print/12SUBJPBENSMITH1-print-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
1,nyt://article/9ef432e7-b178-5755-bff5-7969055e22fe,https://www.nytimes.com/2020/04/12/us/politics/trump-fauci-coronavirus.html,100000007084526,100000007084526,New York Times,2020-04-12,2020-04-13 19:50:43,U.S.,Politics,u.s.,"Coronavirus (2019-nCoV);United States Politics and Government;Epidemics;Trump, Donald J;Fauci, Anthony S;National Institute of Allergy and Infectious Diseases",,By Peter Baker,Article,Trump Lashes Out at Fauci Amid Criticism of Slow Virus Response,The president retweeted a post calling for the government’s top infectious disease specialist to be fired after the doctor acknowledged that shutting down the country earlier could have saved lives.,"['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Epidemics']",['National Institute of Allergy and Infectious Diseases'],"['Trump, Donald J', 'Fauci, Anthony S']",[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Dr. Anthony S. Fauci, the federal government’s top infectious disease expert, and President Trump have publicly disagreed on several issues.', 'copyright': 'Anna Moneymaker/The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/14/us/politics/12dc-virus-trump2/12dc-virus-trump2-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/14/us/politics/12dc-virus-trump2/12dc-virus-trump2-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/14/us/politics/12dc-virus-trump2/12dc-virus-trump2-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
2,nyt://article/b96181ac-ae7a-5105-aea8-085b275bd0de,https://www.nytimes.com/2020/04/13/us/coronavirus-updates.html,100000007084527,100000007084527,New York Times,2020-04-13,2020-04-14 00:17:32,U.S.,,u.s.,Coronavirus (2019-nCoV),,,Article,Coronavirus Updates: Trump Insists He Has ‘Total’ Authority to Supersede Governors,State leaders on both coasts are starting to debate how and when to reopen. The closure of a major meat processing plant could affect the nation’s food supply.,['Coronavirus (2019-nCoV)'],[],[],[],[],0
3,nyt://article/0c53a478-7276-5fe7-abb7-e9272ed0f06b,https://www.nytimes.com/2020/04/11/us/politics/coronavirus-trump-response.html,100000007082117,100000007082117,New York Times,2020-04-11,2020-04-13 20:30:51,U.S.,Politics,u.s.,"Coronavirus (2019-nCoV);United States Politics and Government;United States Economy;United States International Relations;Presidential Election of 2020;Shutdowns (Institutional);Quarantines;Travel Warnings;Trump, Donald J;Azar, Alex M II;Birx, Deborah L;Fauci, Anthony S;Mnuchin, Steven T;Navarro, Peter;O'Brien, Robert C (1952- );Pence, Mike;Pottinger, Matthew;Redfield, Robert R;Centers for Disease Control and Prevention;National Institutes of Health;National Security Council;Health and Human Services Department;China",,"By Eric Lipton, David E. Sanger, Maggie Haberman, Michael D. Shear, Mark Mazzetti and Julian E. Barnes",Article,He Could Have Seen What Was Coming: Behind Trump’s Failure on the Virus,"An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of planning and his faith in his own instincts led to a halting response.","['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'United States Economy', 'United States International Relations', 'Presidential Election of 2020', 'Shutdowns (Institutional)', 'Quarantines', 'Travel Warnings']","['Centers for Disease Control and Prevention', 'National Institutes of Health', 'National Security Council', 'Health and Human Services Department']","['Trump, Donald J', 'Azar, Alex M II', 'Birx, Deborah L', 'Fauci, Anthony S', 'Mnuchin, Steven T', 'Navarro, Peter', ""O'Brien, Robert C (1952- )"", 'Pence, Mike', 'Pottinger, Matthew', 'Redfield, Robert R']",['China'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'President Trump has repeatedly said that no one could have seen the effects of the coronavirus coming.', 'copyright': 'Al Drago for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/05/11/us/politics/11dc-virus-reconstruct-hp/11dc-virus-reconstruct-hp-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
4,nyt://article/994b52e1-a8b5-5a31-a045-1fb429b1b155,https://www.nytimes.com/2020/04/13/opinion/coronavirus-immunity.html,100000007081207,100000007081207,New York Times,2020-04-13,2020-04-13 20:51:48,Opinion,,opinion,Tests (Medical);Coronavirus (2019-nCoV);SARS (Severe Acute Respiratory Syndrome);MERS (Middle East Respiratory Syndrome);Immune System;Epidemics;Antibodies;Vaccination and Immunization;Population;Infections;Colds;Faroe Islands;Italy;South Korea,,By Marc Lipsitch,Article,Who Is Immune to the Coronavirus?,"About this question, too, decisions with great consequences are being made, as they must be, based on only glimmers of data.","['Tests (Medical)', 'Coronavirus (2019-nCoV)', 'SARS (Severe Acute Respiratory Syndrome)', 'MERS (Middle East Respiratory Syndrome)', 'Immune System', 'Epidemics', 'Antibodies', 'Vaccination and Immunization', 'Population', 'Infections', 'Colds']",[],[],"['Faroe Islands', 'Italy', 'South Korea']","[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Santi Palacios/Associated Press', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/opinion/13lipsitch/13lipsitch-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
5,nyt://article/279f43ee-06ca-5988-ae8e-923df01b3e80,https://www.nytimes.com/2020/04/12/us/politics/coronavirus-roosevelt-carrier-crozier.html,100000007082047,100000007082047,New York Times,2020-04-12,2020-04-13 14:12:48,U.S.,Politics,u.s.,"United States Defense and Military Forces;Coronavirus (2019-nCoV);Aircraft Carriers;USS Theodore Roosevelt (CVN-71) (Ship);Crozier, Brett E;Modly, Thomas B;Trump, Donald J;United States Navy;Defense Department;Guam",,"By Thomas Gibbons-Neff, Eric Schmitt, Helene Cooper and John Ismay",Article,‘There Will Be Losses’: How a Captain’s Plea Exposed a Rift in the Military,"The coronavirus crisis aboard the carrier Theodore Roosevelt spurred another chapter in the hollowing out of the Navy’s leadership, in particular under the Trump administration.","['United States Defense and Military Forces', 'Coronavirus (2019-nCoV)', 'Aircraft Carriers', 'USS Theodore Roosevelt (CVN-71) (Ship)']","['United States Navy', 'Defense Department']","['Crozier, Brett E', 'Modly, Thomas B', 'Trump, Donald J']",['Guam'],"[{'type': 'image', 'subtype': 'photo', 'caption': 'The carrier Theodore Roosevelt during a port call in Da Nang, Vietnam, last month. Some think cases onboard arose from exposure there.', 'copyright': 'EPA, via Shutterstock', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/11/us/politics/11dc-virus-roosevelt1/11dc-virus-roosevelt1-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/11/us/politics/11dc-virus-roosevelt1/11dc-virus-roosevelt1-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/11/us/politics/11dc-virus-roosevelt1/11dc-virus-roosevelt1-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
6,nyt://article/124c0d33-9756-5fd2-a812-fd98c3373466,https://www.nytimes.com/2020/04/12/us/coronavirus-biogen-boston-superspreader.html,100000007070378,100000007070378,New York Times,2020-04-12,2020-04-14 00:07:06,U.S.,,u.s.,"Coronavirus (2019-nCoV);Drugs (Pharmaceuticals);Epidemics;Conventions, Fairs and Trade Shows;Vounatsos, Michel;Biogen Inc;Pharmaceutical Research and Manufacturers of America;Boston (Mass);Massachusetts",,By Farah Stockman and Kim Barker,Article,How a Premier U.S. Drug Company Became a Virus ‘Super Spreader’,"Biogen employees unwittingly spread the coronavirus from Massachusetts to Indiana, Tennessee and North Carolina.","['Coronavirus (2019-nCoV)', 'Drugs (Pharmaceuticals)', 'Epidemics', 'Conventions, Fairs and Trade Shows']","['Biogen Inc', 'Pharmaceutical Research and Manufacturers of America']","['Vounatsos, Michel']","['Boston (Mass)', 'Massachusetts']","[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': ""Cody O'Loughlin for The New York Times"", 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-mediumThreeByTwo210-v3.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/08/us/00VIRUS-BIOGEN/00VIRUS-BIOGEN-mediumThreeByTwo440-v3.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
7,nyt://article/29ffeaa2-7735-575c-99b6-bff71624f046,https://www.nytimes.com/2020/04/13/world/coronavirus-news-world-international-global.html,100000007084411,100000007084411,New York Times,2020-04-13,2020-04-14 00:28:16,World,,world,"Coronavirus (2019-nCoV);Johnson, Boris;Trump, Donald J;Great Britain;Israel;Turkey",,,Article,Lockdowns in France and U.K. Expected to Last Into Next Month,"President Vladimir V. Putin said Russia’s outbreak was bad and getting worse. In war-torn Libya, residents faced a dire choice: stay home or flee missiles.",['Coronavirus (2019-nCoV)'],[],"['Johnson, Boris', 'Trump, Donald J']","['Great Britain', 'Israel', 'Turkey']","[{'type': 'image', 'subtype': 'photo', 'caption': 'The nearly empty streets of Camden Town in London on Sunday. The total number of confirmed coronavirus deaths in Britain has surpassed that of China.', 'copyright': 'Andrew Testa for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/13/world/13virus-int-briefing-promo/13virus-int-briefing-promo-thumbStandard-v3.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/13/world/13virus-int-briefing-promo/13virus-int-briefing-promo-mediumThreeByTwo210-v3.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/13/world/13virus-int-briefing-promo/13virus-int-briefing-promo-mediumThreeByTwo440-v3.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
8,nyt://article/b0d0bada-331e-572d-b21c-6572001bef7d,https://www.nytimes.com/2020/04/13/us/politics/aoc-progressives-joe-biden.html,100000007083498,100000007083498,New York Times,2020-04-13,2020-04-14 00:58:46,U.S.,Politics,u.s.,"Presidential Election of 2020;Liberalism (US Politics);Biden, Joseph R Jr;Ocasio-Cortez, Alexandria;Sanders, Bernard",,By Astead W. Herndon,Article,Alexandria Ocasio-Cortez Has Never Spoken to Joe Biden. Here’s What She Would Say.,"In an interview, Ms. Ocasio-Cortez said she intended to support the presumptive Democratic nominee, but the “process of coming together should be uncomfortable for everyone involved.”","['Presidential Election of 2020', 'Liberalism (US Politics)']",[],"['Biden, Joseph R Jr', 'Ocasio-Cortez, Alexandria', 'Sanders, Bernard']",[],"[{'type': 'image', 'subtype': 'photo', 'caption': 'Representative\xa0Alexandria Ocasio-Cortez of New York last fall in her congressional office in Washington.\xa0', 'copyright': 'Lexey Swall for The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/12/us/politics/12aoc-biden/12aoc-biden-thumbStandard.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/12/us/politics/12aoc-biden/merlin_161431956_484da921-fed9-4df6-8ed1-adc8837a7912-mediumThreeByTwo210.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/12/us/politics/12aoc-biden/merlin_161431956_484da921-fed9-4df6-8ed1-adc8837a7912-mediumThreeByTwo440.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
9,nyt://article/d0778700-c34f-57ac-a8ee-b8cdbb93ba2e,https://www.nytimes.com/2020/04/12/opinion/joe-biden-coronavirus-reopen-america.html,100000007080313,100000007080313,New York Times,2020-04-12,2020-04-13 10:33:54,Opinion,,opinion,"United States Politics and Government;Defense Production Act;United States Economy;Vaccination and Immunization;Coronavirus (2019-nCoV);Trump, Donald J;Health and Human Services Department;Occupational Safety and Health Administration;United States",,By Joe Biden,Article,Joe Biden: My Plan to Safely Reopen America,An effective strategy to beat the virus is the ultimate answer to how we get our economy back on track.,"['United States Politics and Government', 'Defense Production Act', 'United States Economy', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']","['Health and Human Services Department', 'Occupational Safety and Health Administration']","['Trump, Donald J']",['United States'],"[{'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Damon Winter/The New York Times', 'approved_for_syndication': 1, 'media-metadata': [{'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-thumbStandard-v2.jpg', 'format': 'Standard Thumbnail', 'height': 75, 'width': 75}, {'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-mediumThreeByTwo210-v2.jpg', 'format': 'mediumThreeByTwo210', 'height': 140, 'width': 210}, {'url': 'https://static01.nyt.com/images/2020/04/09/opinion/12Plan/12Plan-mediumThreeByTwo440-v2.jpg', 'format': 'mediumThreeByTwo440', 'height': 293, 'width': 440}]}]",0
