,title,asset_id,adx_keywords,published_date,url,first_keyword,about_covid19
7,You’re Retired. Should You Rent or Buy Your Home?,100000006981425,Real Estate and Housing (Residential);Renting and Leasing (Real Estate);Mortgages;Elderly;Condominiums;Retirement,2020-03-12,https://www.nytimes.com/2020/03/12/business/retirement-rent-buy-home.html,False,False
11,A Complete List of Trump’s Attempts to Play Down Coronavirus,100000007033084,"United States Politics and Government;Coronavirus (2019-nCoV);Rumors and Misinformation;Deaths (Fatalities);Epidemics;Tests (Medical);Infections;Trump, Donald J;Centers for Disease Control and Prevention;World Health Organization;China",2020-03-15,https://www.nytimes.com/2020/03/15/opinion/trump-coronavirus.html,False,True
19,How Long Will Coronavirus Live on Surfaces or in the Air Around You?,100000007039743,your-feed-science;Coronavirus (2019-nCoV),2020-03-17,https://www.nytimes.com/2020/03/17/health/coronavirus-surfaces-aerosols.html,False,True
13,Camus on the Coronavirus,100000007030204,"Plague;Books and Literature;Coronavirus (2019-nCoV);Camus, Albert",2020-03-19,https://www.nytimes.com/2020/03/19/opinion/sunday/coronavirus-camus-plague.html,False,True
8,Translating a Surveillance Tool into a Virus Tracker for Democracies,100000007042395,Coronavirus (2019-nCoV);Mobile Applications;Surveillance of Citizens by Government;Privacy;Data-Mining and Database Marketing;Epidemics;Computers and the Internet;Smartphones;Great Britain,2020-03-19,https://www.nytimes.com/2020/03/19/us/coronavirus-location-tracking.html,True,True
10,Screw This Virus!,100000007043933,Computers and the Internet;Coronavirus (2019-nCoV);Quarantines,2020-03-19,https://www.nytimes.com/2020/03/19/opinion/coronavirus-isolation.html,False,True
5,"The Best-Case Outcome for the Coronavirus, and the Worst",100000007044076,Coronavirus (2019-nCoV);Ventilators (Medical);Tests (Medical);Quarantines;Shortages;Medical Devices;SARS (Severe Acute Respiratory Syndrome);Medicine and Health;Drugs (Pharmaceuticals);Influenza;Clinical Trials;United States,2020-03-20,https://www.nytimes.com/2020/03/20/opinion/sunday/coronavirus-outcomes.html,True,True
2,"I Spent a Year in Space, and I Have Tips on Isolation to Share",100000007045625,Coronavirus (2019-nCoV);Space and Astronomy;Quarantines;National Aeronautics and Space Administration,2020-03-21,https://www.nytimes.com/2020/03/21/opinion/scott-kelly-coronavirus-isolation.html,True,True
3,A Plan to Get America Back to Work,100000007047869,"Quarantines;Shutdowns (Institutional);Coronavirus (2019-nCoV);Layoffs and Job Reductions;United States Economy;Katz, David L",2020-03-22,https://www.nytimes.com/2020/03/22/opinion/coronavirus-economy.html,False,True
6,What I Learned When My Husband Got Sick With Coronavirus,100000007051881,Coronavirus (2019-nCoV);Emergency Medical Treatment;Tests (Medical);Protective Clothing and Gear,2020-03-24,https://www.nytimes.com/2020/03/24/magazine/coronavirus-family.html,True,True
