,title,asset_id,adx_keywords,published_date,url
0,"He Has 17,700 Bottles of Hand Sanitizer and Nowhere to Sell Them",100000007029870,"Coronavirus (2019-nCoV);Prices (Fares, Fees and Rates);Cleansers, Detergents and Soaps;Hygiene and Cleanliness;Stockpiling;E-Commerce;Computers and the Internet;Masks;Protective Clothing and Gear;Amazon.com Inc;eBay Inc;Chattanooga (Tenn)",2020-03-14,https://www.nytimes.com/2020/03/14/technology/coronavirus-purell-wipes-amazon-sellers.html
1,The U.S. Now Leads the World in Confirmed Coronavirus Cases,100000007056143,"Politics and Government;United States International Relations;Medicine and Health;Quarantines;Coronavirus (2019-nCoV);Epidemics;Impeachment;Lipkin, W Ian;Columbia University",2020-03-26,https://www.nytimes.com/2020/03/26/health/usa-coronavirus-cases.html
2,"Coronavirus Ravages 7 Members of a Single Family, Killing 4",100000007041449,"Coronavirus (2019-nCoV);Quarantines;Deaths (Fatalities);Fusco, Carmine (d 2020);Fusco, Grace (d 2020);Fusco-Jackson, Rita (d 2020);Freehold (NJ)",2020-03-18,https://www.nytimes.com/2020/03/18/nyregion/new-jersey-family-coronavirus.html
3,Putting Jared Kushner In Charge Is Utter Madness,100000007063748,"Coronavirus (2019-nCoV);Epidemics;United States Politics and Government;Disasters and Emergencies;Medical Devices;Ventilators (Medical);Kushner, Jared;Trump, Donald J;Cuomo, Andrew M;New York State",2020-04-02,https://www.nytimes.com/2020/04/02/opinion/jared-kushner-coronavirus.html
4,"F.A.Q. on Stimulus Checks, Unemployment and the Coronavirus Plan",100000007048672,"Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Stimulus (Economic);Federal Aid (US);Unemployment Insurance;United States Economy;United States Politics and Government;Internal Revenue Service",2020-03-26,https://www.nytimes.com/article/coronavirus-stimulus-package-questions-answers.html
5,"Liberty University Brings Back Its Students, and Coronavirus Fears, Too",100000007058831,"Coronavirus (2019-nCoV);Colleges and Universities;Shutdowns (Institutional);Conservatism (US Politics);Falwell, Jerry Jr (1962- );Liberty University;Lynchburg (Va)",2020-03-29,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-liberty-university-falwell.html
6,Medical Expert Who Corrects Trump Is Now a Target of the Far Right,100000007058512,"Coronavirus (2019-nCoV);Rumors and Misinformation;United States Politics and Government;Epidemics;Social Media;Fringe Groups and Movements;Fauci, Anthony S;Trump, Donald J;Fitton, Thomas J (1968- );National Institute of Allergy and Infectious Diseases;Judicial Watch",2020-03-28,https://www.nytimes.com/2020/03/28/technology/coronavirus-fauci-trump-conspiracy-target.html
7,"Spit On, Yelled At, Attacked: Chinese-Americans Fear for Their Safety",100000007044136,"Chinese-Americans;Discrimination;Coronavirus (2019-nCoV);Asian-Americans;Race and Ethnicity;Trump, Donald J;United States",2020-03-23,https://www.nytimes.com/2020/03/23/us/chinese-coronavirus-racist-attacks.html
8,White House Debates How Far to Go on Face Mask Guidelines,100000007067017,Coronavirus (2019-nCoV),2020-04-02,https://www.nytimes.com/2020/04/02/world/coronavirus-live-news-updates.html
9,Lost Sense of Smell May Be Peculiar Clue to Coronavirus Infection,100000007047937,Coronavirus (2019-nCoV);Smell (Olfaction);Tests (Medical);Quarantines;your-feed-science;American Academy of Otolaryngology;ENT UK,2020-03-22,https://www.nytimes.com/2020/03/22/health/coronavirus-symptoms-smell-taste.html
