,title,asset_id,adx_keywords,published_date,url
0,"He Has 17,700 Bottles of Hand Sanitizer and Nowhere to Sell Them",100000007029870,"Coronavirus (2019-nCoV);Prices (Fares, Fees and Rates);Cleansers, Detergents and Soaps;Hygiene and Cleanliness;Stockpiling;E-Commerce;Computers and the Internet;Masks;Protective Clothing and Gear;Amazon.com Inc;eBay Inc;Chattanooga (Tenn)",2020-03-14,https://www.nytimes.com/2020/03/14/technology/coronavirus-purell-wipes-amazon-sellers.html
1,"F.A.Q. on Stimulus Checks, Unemployment and the Coronavirus Plan",100000007048672,"Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Stimulus (Economic);Federal Aid (US);Unemployment Insurance;United States Economy;United States Politics and Government;Internal Revenue Service",2020-03-26,https://www.nytimes.com/article/coronavirus-stimulus-package-questions-answers.html
2,"Coronavirus Ravages 7 Members of a Single Family, Killing 4",100000007041449,"Coronavirus (2019-nCoV);Quarantines;Deaths (Fatalities);Fusco, Carmine (d 2020);Fusco, Grace (d 2020);Fusco-Jackson, Rita (d 2020);Freehold (NJ)",2020-03-18,https://www.nytimes.com/2020/03/18/nyregion/new-jersey-family-coronavirus.html
3,The U.S. Now Leads the World in Confirmed Coronavirus Cases,100000007056143,"Politics and Government;United States International Relations;Medicine and Health;Quarantines;Coronavirus (2019-nCoV);Epidemics;Impeachment;Lipkin, W Ian;Columbia University",2020-03-26,https://www.nytimes.com/2020/03/26/health/usa-coronavirus-cases.html
4,They Were the Last Couple in Paradise. Now They’re Stranded.,100000007065951,Travel and Vacations;Airlines and Airplanes;Travel Warnings;Coronavirus (2019-nCoV);Honeymoons;your-feed-selfcare;Maldives;South Africa,2020-04-05,https://www.nytimes.com/2020/04/05/style/coronavirus-honeymoon-stranded.html
5,Putting Jared Kushner In Charge Is Utter Madness,100000007063748,"Coronavirus (2019-nCoV);Epidemics;United States Politics and Government;Disasters and Emergencies;Medical Devices;Ventilators (Medical);Kushner, Jared;Trump, Donald J;Cuomo, Andrew M;New York State",2020-04-02,https://www.nytimes.com/2020/04/02/opinion/jared-kushner-coronavirus.html
6,How to Make a Face Mask,100000007058106,Sewing;Coronavirus (2019-nCoV);Do It Yourself;Masks;Protective Clothing and Gear;Hygiene and Cleanliness;your-feed-selfcare;your-feed-healthcare;your-feed-health,2020-03-31,https://www.nytimes.com/article/how-to-make-face-mask-coronavirus.html
7,Lost Sense of Smell May Be Peculiar Clue to Coronavirus Infection,100000007047937,Coronavirus (2019-nCoV);Smell (Olfaction);Tests (Medical);Quarantines;your-feed-science;American Academy of Otolaryngology;ENT UK,2020-03-22,https://www.nytimes.com/2020/03/22/health/coronavirus-symptoms-smell-taste.html
8,Worst-Case Estimates for U.S. Coronavirus Deaths,100000007030343,Coronavirus (2019-nCoV);Deaths (Fatalities);Epidemics;Hospitals;Influenza;Centers for Disease Control and Prevention;United States,2020-03-13,https://www.nytimes.com/2020/03/13/us/coronavirus-deaths-estimate.html
9,A German Exception? Why the Country’s Coronavirus Death Rate Is Low,100000007067360,"Coronavirus (2019-nCoV);Tests (Medical);Hospitals;Epidemics;Quarantines;Ventilators (Medical);Deaths (Fatalities);Merkel, Angela;Germany",2020-04-04,https://www.nytimes.com/2020/04/04/world/europe/germany-coronavirus-death-rate.html
10,Trump Signs Relief Package; China Reports Zero New Local Infections,100000007039048,"Coronavirus (2019-nCoV);Trump, Donald J;United States;Europe;Great Britain",2020-03-18,https://www.nytimes.com/2020/03/18/world/coronavirus-news.html
11,"Liberty University Brings Back Its Students, and Coronavirus Fears, Too",100000007058831,"Coronavirus (2019-nCoV);Colleges and Universities;Shutdowns (Institutional);Conservatism (US Politics);Falwell, Jerry Jr (1962- );Liberty University;Lynchburg (Va)",2020-03-29,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-liberty-university-falwell.html
12,"Italy, Pandemic’s New Epicenter, Has Lessons for the World",100000007043110,"Politics and Government;Coronavirus (2019-nCoV);Quarantines;Epidemics;Deaths (Fatalities);Conte, Giuseppe;Italy",2020-03-21,https://www.nytimes.com/2020/03/21/world/europe/italy-coronavirus-center-lessons.html
13,Medical Expert Who Corrects Trump Is Now a Target of the Far Right,100000007058512,"Coronavirus (2019-nCoV);Rumors and Misinformation;United States Politics and Government;Epidemics;Social Media;Fringe Groups and Movements;Fauci, Anthony S;Trump, Donald J;Fitton, Thomas J (1968- );National Institute of Allergy and Infectious Diseases;Judicial Watch",2020-03-28,https://www.nytimes.com/2020/03/28/technology/coronavirus-fauci-trump-conspiracy-target.html
14,13 Deaths in a Day: An ‘Apocalyptic’ Coronavirus Surge at an N.Y.C. Hospital,100000007051463,Coronavirus (2019-nCoV);Hospitals;Deaths (Fatalities);Ventilators (Medical);Medical Devices;Protective Clothing and Gear;Shortages;Elmhurst Hospital Center;Health and Hospitals Corp;Queens (NYC);Manhattan (NYC),2020-03-25,https://www.nytimes.com/2020/03/25/nyregion/nyc-coronavirus-hospitals.html
15,Younger Adults Make Up Big Portion of Coronavirus Hospitalizations in U.S.,100000007041499,Coronavirus (2019-nCoV);your-feed-healthcare;Elderly;Millennial Generation;Centers for Disease Control and Prevention;United States,2020-03-18,https://www.nytimes.com/2020/03/18/health/coronavirus-young-people.html
16,Bernie Sanders Drops Out of 2020 Democratic Race for President,100000007027237,"Primaries and Caucuses;Presidential Election of 2020;United States Politics and Government;Sanders, Bernard;Biden, Joseph R Jr;Democratic Party",2020-04-08,https://www.nytimes.com/2020/04/08/us/politics/bernie-sanders-drops-out.html
17,"The 1,000-Bed Comfort Was Supposed to Aid New York. It Has 20 Patients.",100000007068343,"USNS Comfort (Ship);Coronavirus (2019-nCoV);Hospitals;Quarantines;Epidemics;Trump, Donald J;Cuomo, Andrew M;Amersbach, Patrick;Dowling, Michael J (1949- );Javits, Jacob K, Convention Center (Manhattan, NY);Northwell Health;United States Navy;New York City",2020-04-02,https://www.nytimes.com/2020/04/02/nyregion/ny-coronavirus-usns-comfort.html
18,"C.D.C. Gives New Guidelines, New York to Close Restaurants and Schools and Italian Deaths Rise",100000007034857,Coronavirus (2019-nCoV),2020-03-15,https://www.nytimes.com/2020/03/15/world/coronavirus-live.html
19,U.S. Now Leads the World in Confirmed Cases,100000007055055,"Coronavirus (2019-nCoV);Stimulus (Economic);Fauci, Anthony S;Trump, Donald J;Senate;New York City;United States",2020-03-26,https://www.nytimes.com/2020/03/26/world/coronavirus-news.html
