date,AAPL,AAL,AMZN,IBM,PFE,ANTM,WMT
2020-04-15,284.43,12.29,2307.68,118.69,35.97,250.47,128.76
2020-04-14,287.05,11.945,2283.32,123.91,36.44,252.01,129.0
2020-04-13,273.25,11.56,2168.87,121.15,35.14,240.53,125.3
2020-04-09,267.99,12.51,2042.76,121.5,35.39,242.46,121.8
2020-04-08,266.07,11.33,2043.0,119.29,34.6,247.02,121.84
2020-04-07,259.43,10.22,2011.6,114.94,33.61,224.05,121.99
2020-04-06,262.47,9.5,1997.59,114.82,34.57,225.72,126.07
2020-04-03,241.41,9.39,1906.59,106.34,33.64,203.3,119.48
2020-04-02,244.93,10.06,1918.83,110.0,32.87,211.39,118.65
2020-04-01,240.91,10.69,1907.7,105.14,31.75,214.3,114.14
2020-03-31,254.29,12.19,1949.72,110.93,32.64,227.04,113.62
2020-03-30,254.81,12.25,1963.95,112.93,32.67,230.58,115.19
2020-03-27,247.74,14.04,1900.1,108.03,30.9,222.96,109.58
2020-03-26,258.44,15.66,1955.49,112.89,31.75,235.67,109.82
2020-03-25,245.52,15.39,1885.84,105.85,29.75,216.37,109.4
2020-03-24,246.88,13.92,1940.1,105.48,29.7,196.84,115.03
2020-03-23,224.37,10.25,1902.83,94.77,28.49,174.68,114.28
2020-03-20,229.24,10.38,1846.09,95.39,29.01,191.59,113.97
2020-03-19,244.78,10.29,1880.93,100.34,30.42,200.87,119.45
2020-03-18,246.67,11.65,1830.0,103.55,32.36,206.96,122.58
2020-03-17,252.86,15.58,1807.84,106.65,32.16,238.32,119.26
2020-03-16,242.21,15.92,1689.15,99.08,30.18,224.04,106.76
2020-03-13,277.97,14.31,1785.0,107.95,32.71,270.34,114.1
2020-03-12,248.23,13.45,1676.61,102.81,30.02,256.21,104.05
2020-03-11,275.43,16.26,1820.86,117.97,32.17,281.69,114.43
2020-03-10,285.34,17.0,1891.82,124.77,34.59,286.05,119.79
2020-03-09,266.17,14.75,1800.61,117.81,33.76,269.82,117.16
2020-03-06,289.03,15.97,1901.09,127.73,35.02,282.19,117.23
2020-03-05,292.92,16.04,1924.03,129.55,35.46,287.16,115.92
2020-03-04,302.74,18.53,1975.83,134.22,36.4,296.42,116.77
2020-03-03,289.32,17.85,1908.99,128.9,34.3,256.38,112.91
2020-03-02,298.81,18.86,1953.95,134.3,34.88,271.27,115.88
2020-02-28,273.36,19.05,1883.75,130.15,33.42,257.09,107.68
2020-02-27,273.52,20.6,1884.3,133.11,34.1,257.86,110.4
2020-02-26,292.65,22.31,1979.59,139.75,34.72,268.15,113.78
2020-02-25,288.08,23.12,1972.74,141.71,33.93,267.4,114.39
2020-02-24,298.18,25.45,2009.29,146.43,34.67,277.5,116.32
2020-02-21,313.05,27.82,2095.97,149.84,35.72,294.71,118.58
2020-02-20,320.3,28.51,2153.1,151.22,35.85,293.94,117.69
2020-02-19,323.62,28.33,2170.22,150.86,36.23,304.06,117.68
2020-02-18,319.0,28.63,2155.67,151.1,36.32,302.45,119.63
2020-02-14,324.95,29.2,2134.87,150.7,36.51,297.82,117.89
2020-02-13,324.87,30.09,2149.87,154.31,36.93,298.87,117.44
2020-02-12,327.2,30.47,2160.0,155.31,37.74,296.0,115.85
2020-02-11,319.61,29.84,2150.8,153.48,38.09,279.91,115.4
2020-02-10,321.55,28.79,2133.91,154.43,37.81,276.55,115.25
2020-02-07,320.03,28.38,2079.28,153.41,38.05,276.48,116.45
2020-02-06,325.21,28.3,2050.23,156.76,38.26,282.33,116.31
2020-02-05,321.45,29.1,2039.87,156.33,38.17,287.33,116.81
2020-02-04,318.85,28.43,2049.67,149.11,37.69,273.37,115.27
2020-02-03,308.66,27.16,2004.2,146.27,37.51,266.43,114.27
2020-01-31,309.51,26.84,2008.72,143.73,37.24,265.28,114.49
2020-01-30,323.87,27.72,1870.68,136.77,37.07,265.89,116.58
2020-01-29,324.34,26.8,1858.0,137.69,37.58,272.91,115.89
2020-01-28,317.69,26.9,1853.25,139.55,38.14,290.32,116.6
2020-01-27,308.95,26.11,1828.34,138.62,40.16,283.79,115.86
2020-01-24,318.31,27.64,1861.64,140.56,39.82,297.28,114.37
2020-01-23,319.23,28.8,1884.58,142.87,40.71,304.4,115.81
2020-01-22,317.7,27.32,1887.46,143.89,40.19,303.51,116.1
2020-01-21,316.57,27.2,1892.0,139.17,40.34,305.99,115.59
